index_1,index_2,source_id_1,source_id_2,rp_kAU,vp_kms,vc_kms,v_ratio,mass1,mass2,Mtot,distance1_pc,distance2_pc
27,31,69840879814047872,69863454162150656,24.014437692310242,1.240099159015041,0.23424732635599832,5.293973588968077,1.105,0.38,1.4849999999999999,134.62314234845044,136.5295934170939
34,35,69876712724339456,69877163697813248,23.573110867035865,0.7655233515527636,0.23595178349859558,3.2444058705634666,0.893,0.586,1.479,134.49165465547296,133.6502601070597
62,95,64808204638390912,64899017426872960,16.90597183374474,1.2313246353297271,0.3664188659955936,3.3604291416166725,1.395,1.163,2.558,139.80991429500503,139.1191623918295
64,65,66480944080770176,66481734354737792,34.5690165771149,0.473008033926957,0.19411859627030037,2.4366961384179655,0.834,0.634,1.468,136.3882270078972,135.67041392223297
76,77,66517468482370176,66517468482370304,1.7675551028825458,0.7978009536006178,0.9474251369567755,0.842072816606106,0.586,1.202,1.7879999999999998,137.0781278194456,137.19436627399534
97,175,66565365957676416,66754241438299520,36.628055537285135,0.8121160380835265,0.20853210214466758,3.894441334121914,1.048,0.747,1.795,137.9707347494814,138.44375012443078
102,103,66581549393480704,66581961710329984,19.907362975897502,0.8743347306367676,0.2690504803023011,3.2497051469834886,0.614,1.01,1.624,134.77775655802427,136.16686508532345
116,120,64971933089093760,64981137202021376,29.419538587340465,0.3674926613242493,0.20768145463745802,1.769501576179577,0.68,0.75,1.4300000000000002,135.34421754617924,136.0702689278388
166,167,66737095928811648,66737405166459264,18.444549790672337,0.7537156402724049,0.2817445794777263,2.67517352656643,1.144,0.506,1.65,135.20605429613977,135.3140793266361
188,189,65201039527567232,65201249983083392,11.032045894549029,0.6973676485559622,0.3014802165733304,2.3131456401429853,0.65,0.48,1.13,134.66569803874376,136.80979414620955
192,201,66786505232432512,66798496781121792,20.317897164179392,0.8805564932603029,0.5367209793591415,1.6406224595724015,3.199,3.397,6.596,134.71411043573508,136.8873793492555
203,204,65222518661019520,65222759179728640,16.855265982495162,1.5564112398875751,0.30586059959544254,5.088629401584311,0.614,1.163,1.7770000000000001,136.50118629644905,136.99001301039465
207,210,65223618172733952,65225611037551360,36.06226615591232,0.4918556987659574,0.2373252876583446,2.072495955315292,0.855,1.434,2.2889999999999997,136.67104005289093,135.85255017817133
239,240,66939848447027584,66940299422471296,22.026334465642876,1.9568688824795208,0.27811673759988387,7.036142086834036,1.395,0.525,1.92,135.89286215839562,133.1512150000407
241,242,66957994687842176,66960262430594816,40.914216942770445,1.2066788962759452,0.2180870213021655,5.533015624089151,0.836,1.357,2.193,137.1320185885214,138.13268532316334
