source_id,mass,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error
66507469798632320,1.067,57.52306621876871,0.24443561715960135,23.843828681929814,0.12801495393172124,7.666923778358472,0.22949374192668284,21.52903685640303,0.29050938483265504,-43.576213464593486,0.17314215995378945,1.1190836929072443,2.5441962034224925
68364544935515392,0.614,55.50748444918072,0.16283535531562238,24.72669410458236,0.1549665709011632,7.805989456450327,0.1954944378383237,22.195642462115277,0.2257449696026355,-46.619399339774375,0.17273261043792607,5.352550266552148,7.312750928287357
64956127609464320,2.801,56.4546397085677,0.04091341295390984,23.14730329577134,0.026314253891236688,7.418068908967913,0.04248710207390444,20.517537944857754,0.05237578245685218,-45.699709958350766,0.03264377109474739,7.721754220133481,1.311818058263189
66733556873061120,5.001,56.660814386957476,0.07676844785481257,24.342126180705016,0.053234964671307373,7.294580572897397,0.07730721860114456,16.38700602843943,0.1564606153162464,-44.770693998119285,0.08415507114211257,4.186389092558569,1.8095505534342589
65207709613871744,1.163,56.85324231241466,0.04601144064998395,23.90987427760454,0.03635009366323113,7.193719150572713,0.054407634605082016,19.610298231285633,0.05840671226043469,-46.330139712737335,0.042594670984387364,5.340594373155833,0.5870839355552393
66798526845337344,0.625,56.481867109669075,0.022991678384773933,24.5539330895074,0.014619761612971205,7.35572008719104,0.023857520643844075,19.536592488583768,0.03075933199996565,-45.54884885925111,0.019327894914210993,4.43802291255394,5.249725222171552
65241313437941504,0.473,56.137939426464165,0.03550819893452863,23.87845991182655,0.025500578082735578,7.355039159937126,0.03488677557416613,19.612429465557437,0.048148730709435414,-46.5329916675177,0.03816034946703723,10.174809180935565,6.103585047119639
65248460263511552,0.809,56.056027864781,0.09027242065527177,24.035772070529397,0.09118757025259994,7.355365987373878,0.13359988694744507,20.135138224501066,0.12849881006417477,-45.1555761801681,0.1087453234599256,4.713042310965217,1.2415846287173935
65266499126062080,5.001,55.907287218776034,0.10169500173474276,24.22660707613276,0.07493112293063617,7.711384425889139,0.1111905150030967,19.55889342928524,0.1250513793717979,-42.105484958176326,0.08381098554053472,-90.63639827312576,5.837334296099361
65272821318002560,1.395,56.10161727865885,0.08120090167929456,24.138580336699412,0.06472860959935128,7.375303122537867,0.10056335593309938,28.074611015333545,0.11085180277540073,-43.09064451953444,0.07758262705919725,6.329137934055774,0.4078062862471589
