semi_major_axis_pc,eccentricity,inclination_deg,longitude_of_ascending_node_deg,argument_of_periapsis_deg,true_anomaly_deg,orbital_period_yr
0.006503144798186516,0.8471831335712577,65.45392728350845,146.48242247482094,197.7528029066937,187.4329183713289,0.024971777989552867
0.0005917042765639151,0.9628625731997046,66.85681245360189,146.45786131217767,216.75098032411492,182.0388227366223,0.0007278264204329812
-0.018380445230235166,2.014846766028481,65.95973415957599,146.9187540774499,175.65558706650188,338.36003202869557,
-0.00024941070999459565,50.50077575641003,114.18061976883052,326.02570499754523,237.74344081412806,66.73707652649921,
-0.0012010299256427564,43.11714001334802,66.06248282161128,147.49140638132246,353.426874969056,10.328884301969667,
-0.015715081384869177,3.2933198421675427,66.04462710125485,146.11953042557099,67.73262444995554,324.6178825057028,
0.0037882822865458656,0.35966218942056793,66.57654739117996,146.36822146400905,168.58491237075822,67.60472316707772,0.02015846908289516
-0.0004221613244453373,25.685290999753274,65.56882489780642,146.72941607332058,80.96138578050694,59.79910840481243,
-0.07736267128267674,1.0222084883074636,113.84983161755869,328.3003629988062,131.26590839958303,231.05345501672883,
0.003931173829067406,0.8619904959503227,114.60356062822937,325.42367511787467,240.5080266813148,157.46291380468912,0.02147293788377943
-0.0006152157959716526,52.24452271061919,114.2951564053237,325.8244143083135,350.7883740067994,321.47757717509313,
0.012720422186008455,0.9968218985557564,113.61555117317658,323.54987192372465,88.60058374853772,174.60088227341848,0.1316140784073174
