source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,mass,mass_error
66798496781121792,56.47573581606232,0.07872361947214156,24.553343885417718,0.04629349261037949,7.299805424807692,0.0860415029051127,20.330231486895734,0.09279840159982396,-46.01714785310961,0.05934543419847446,11.851298835133454,0.5843429574913633,3.4676107231864206,0.15124265371776682
64956127609464320,56.45376380296309,0.04116570896982789,23.147487912421646,0.026164696710049937,7.415670521131537,0.04348575610474,20.517970156314572,0.05446000193248222,-45.69880366043611,0.031162445886686638,7.9953943204082565,1.3321744535878226,2.4593289781814804,0.11820886298500421
65207709611941376,56.855832745051785,0.030534488964780993,23.9130153213127,0.023624251350540592,7.223421534844087,0.03659038146997775,20.052894174982978,0.03974009180368058,-44.13204934246435,0.029466130417370187,-1.9472411964945278,2.4570826092919975,2.1615880960341576,0.10502472441743267
65272821318002560,56.10288002918153,0.08196838147843545,24.139941685980016,0.06604825139662261,7.36442579039542,0.10115402734728038,28.05710776766851,0.10542775315183936,-43.099507984328625,0.07897296253306821,6.310281142895323,0.40451305899182893,1.4046052837397074,0.05048718047807711
66507469798631936,57.485733607298506,0.03349760729481132,23.848064306940348,0.019063124572129116,7.361250337871672,0.03444992786886304,21.02860917770888,0.03972712795833729,-48.13329095915292,0.02375836257669939,4.794476228810259,0.5041260748227752,1.1521417055024163,0.03996751760160937
65247704349267584,56.05510928203766,0.018812402785944232,24.031423680222467,0.011847499163546452,7.595631369231953,0.02086447612705801,21.405933539588595,0.021645148492079956,-45.88496726234881,0.01557672274672814,4.184285217043711,0.4795545985656398,0.9311419123064404,0.028196938180145667
65163797868281088,56.358079050434796,0.013591992937738533,23.43026766944623,0.01061471096331669,5.958520239261356,0.015876133790907545,16.15446261917083,0.019666649370280856,-35.835357419958186,0.014013673438970684,3.6829419589721484,2.226735732183012,0.8077051978792615,0.02159114211777693
66733552578791296,56.65430204458644,0.06552157652865666,24.340714839623256,0.042556033165187086,7.402783940976855,0.05951312276027013,22.382436665713566,0.11316382182554495,-45.51746222109035,0.060114677820846285,6.94312507020462,3.055026886294936,0.7408533228781244,0.019972231421452137
66474450090138496,58.306467524787536,0.014989440606542946,23.92952320170499,0.008034438776017698,8.424585371462518,0.015297798982080637,10.3157242080582,0.017522019924573917,-47.004514962804464,0.010523408249652913,13.373827537153554,0.7638132060940268,0.7295537277817278,0.021112091224911454
68364544935515392,55.51450635399193,0.1696223542132108,24.707496173922692,0.1619394886784581,7.802669922700844,0.18728171704930746,22.20979034474891,0.23660187887819534,-46.627813380913416,0.16840556967338124,5.5520342049868265,7.237141252330365,0.6086184690477038,0.020170861124805747
65266494828710400,55.907712361804705,0.06900231417294182,24.237765699990852,0.05805111276545668,7.3202538417258864,0.08279228062687372,20.33723084441568,0.08974518785987902,-46.50697455672001,0.06335503442534005,-1.9485010204753253,7.699785976166361,0.5588738177525159,0.010354711970647993
65241313435901568,56.13017966822476,0.034977402231458316,23.877720478510593,0.026196917478794143,7.365139292906681,0.04156513211037714,19.583380012189984,0.0487428674981023,-45.42308237041645,0.03755525440306197,17.925131586323904,13.39912805475983,0.5500371525377474,0.009635891625599894
