semi_major_axis_pc,eccentricity,inclination_deg,longitude_of_ascending_node_deg,argument_of_periapsis_deg,true_anomaly_deg,orbital_period_yr
-0.00035662626253229665,33.148140095324756,31.830829492539497,20.091231447658284,135.54316400435886,357.2381666251843,
0.0008214778845476511,0.44285305244856166,37.500432494434044,50.681747948772426,271.2534660298758,197.61608870254068,0.0011905964093393653
-0.00025756449721420666,76.90712008377479,27.808982999662867,259.81896022062114,61.93567257792317,357.1198220823491,
-0.0001656588642755063,122.89078484016777,76.09098954743396,13.248945205592303,260.7080527191007,48.5134358982264,
-0.00037499489260822493,137.3753915886554,10.822275708295958,130.73187555921487,12.830673189292911,5.763068440637171,
-0.01099709122924692,4.412655142535088,91.20543147794355,161.21816254110072,58.85431510189756,330.4280015081959,
-5.652930919272967e-07,5132.366974669729,58.910819178920455,42.33158349368238,296.8404070056179,0.24995655972945818,
-0.000265683571401084,56.053726333936396,109.78654264366328,113.38304143111823,98.93075970311853,43.33072921871763,
-0.01757631658677361,1.1984538608990303,66.27179780383071,326.4292597522358,102.46105044679835,259.85614235039424,
-0.00015215647911523875,33.31009170811359,47.05546839499949,268.5117608713399,42.4688784778335,7.366686895887295,
-5.91187950559291e-07,67795.56122677385,128.5868163586726,216.9810646246431,240.75844798580727,358.8845207351482,
-7.524064198639447e-05,141.58153296259493,84.90538978663525,238.85225899241573,240.77915365008468,5.203174426169571,
