source_id,ra,dec,pmra,pmdec,parallax,radial_velocity,Mass (M_sun),ra_error,dec_error,pmra_error,pmdec_error,parallax_error,radial_velocity_error,Name
66507469798631936,57.491183690526064,23.847947494502325,21.026665618554475,-48.1328432589328,7.361154060952656,5.196112155914307,5.001,0.033702802,0.018977262,0.0386648,0.0253434,0.033577144,0.050590840332552615,b'HII 2503'
68364544933829376,55.51592567605937,24.7125362590405,21.72158921102009,-45.29248536967149,7.485806292535069,12.204306,0.6,0.04297864,0.035991907,0.06726752,0.057571474,0.057111867,4.8928576,
64956123313498368,56.45303174951979,23.147850803372048,19.02937718369986,-45.46310824022036,7.404869641412335,5.299024,5.001,0.01865014,0.01191799,0.024696719,0.014802787,0.018651934,0.21958748,
66733552578791296,56.655542236671856,24.34333893209654,22.38024379037781,-45.51618836763191,7.4103373667151455,5.5163445472717285,0.75,0.06361707,0.0400972,0.10874575,0.06264245,0.06050931,0.12038442881517412,b'HII 1100'
65207709611941376,56.85182143112869,23.9144778917631,20.049108040161617,-44.13258985442616,7.220987406121659,6.930237293243408,2.6,0.030519485,0.022986645,0.041598886,0.02927154,0.03438313,0.05268014318051261,b'HII 1397'
66798496781121792,56.47708455753871,24.55430537374798,20.33140314206862,-46.022054798281474,7.305275363980725,11.792832,3.397,0.07268643,0.04780104,0.094874665,0.06275386,0.0838769,0.5999517,b'HII 817'
65230764996027776,56.56677710161743,24.189728475046618,19.60554501391406,-43.75937028293768,7.399226753718945,4.150784969329834,1.568,0.030415013,0.021396808,0.039749216,0.027051663,0.032742243,0.653224609260508,b'HII 956'
65241313435901568,56.1334290890114,23.87484927646505,19.57888027760635,-45.42340532837509,7.367449998542193,15.866132,0.549,0.03554339,0.026848154,0.04786971,0.036977574,0.039420117,14.526879,
65247704349267584,56.05452292932521,24.030615863047565,21.404856037527303,-45.88621865204381,7.594803806906587,5.181736946105957,0.971,0.017695986,0.012249984,0.022041071,0.015385619,0.019991616,0.04668818667469614,b'HII 299'
65249250535404928,56.06105910286945,24.10191467207473,20.708631306878623,-43.43679844036549,7.1375867450273605,5.786448955535889,0.809,0.015209513,0.011326394,0.019033784,0.014365265,0.017789356,0.06732624579062647,b'HII 303'
65266494828710400,55.90298289326376,24.23211488843657,20.333375443219484,-46.5100729007747,7.314589696392642,-1.5722564,0.557,0.06938315,0.057953086,0.087707594,0.06587295,0.08198914,8.052981,
65272817023559040,56.09705800204935,24.132377233709853,20.325850542233443,-47.786933718396135,7.25107773889799,10.244207,0.75,0.03148268,0.024096482,0.039259054,0.029576976,0.037444804,7.441258,
