source_id,ra,dec,pmra,pmdec,parallax,radial_velocity,mass,ra_error,dec_error,pmra_error,pmdec_error,parallax_error,radial_velocity_error,mass_error
64021920680680576,56.869804764882964,22.376282502224978,,,,,0.27,1.4727575,0.74253964,,,,,0.02
64094041774819712,57.703780996312744,22.66969168710489,,,,,0.19,1.0601592,0.52347314,,,,,0.01
64131150289171712,57.15703018080156,22.76891804170004,,,,,0.22,0.49952367,0.56504184,,,,,0.02
69811948914509056,56.16913218166659,24.81860881537515,,,,,0.37,2.984442,1.9363649,,,,,0.02
69823940463098112,56.113347314337666,24.8449545392848,20.833615795268948,-47.790813365486265,7.4997128273221305,,0.15,0.16440582,0.112671815,0.2119738,0.13709797,0.17213874,,0.01
69864313154046592,56.315167773090614,25.289706855828115,19.15259332187381,-47.94546030189541,7.357267393115775,,0.21,0.119710594,0.0828355,0.15201262,0.11442714,0.13867316,,0.02
66474450090139008,58.30513663992306,23.927885077275356,12.056254148420853,-46.30708322534767,8.456039156387316,13.486384,0.45,0.03484365,0.020949526,0.04111482,0.026581205,0.037682142,6.8540974,0.02
68267684833497728,55.674414975046595,24.19967990343113,,,,,0.24,5.085363,3.1533158,,,,,0.02
64814050089186048,55.82934131306442,22.44895409988809,,,,,0.8,2.344089,1.474959,,,,,0.02
66486510354964864,57.71892806815562,23.961960147724657,,,,,0.37,7.0074124,1.7973037,,,,,0.02
64837139834697984,55.87166965704079,22.73438824922199,21.901688240815574,-45.302615313158384,7.556974713766846,3.3755517,1.21,0.021143205,0.014817826,0.027256873,0.018957408,0.020693505,1.5533941,0.04
66507469798631936,57.491183690526064,23.847947494502325,21.026665618554475,-48.1328432589328,7.361154060952656,4.707757,1.15,0.033702802,0.018977262,0.0386648,0.0253434,0.033577144,0.5338991,0.04
66507469798632320,57.489468160076925,23.84688194166913,21.530786822847254,-43.565036071731676,7.6427806651503,0.9341931,1.1,0.2451199,0.1352415,0.28000283,0.17623553,0.24566285,2.455118,0.03
66555573432261120,57.5542317446932,24.35181775807784,18.91281125677541,-46.54540443340967,7.242842948139719,,0.45,0.038667846,0.0293365,0.049399678,0.041866496,0.046472624,,0.02
68364544933829376,55.51592567605937,24.7125362590405,21.721589211020092,-45.29248536967149,7.485806292535069,12.204306,0.6,0.04297864,0.035991907,0.06726752,0.057571474,0.057111867,4.8928576,0.02
66584332532300288,58.53751647820529,24.33333521280977,,,,,0.5,0.37717167,0.44654724,,,,,0.02
64933759417767424,57.18418961094356,23.260465412980825,17.13655076339148,-42.40674599011606,7.471546737251657,,0.2,0.17361748,0.13523096,0.22963034,0.1681986,0.16829574,,0.02
64956123313498368,56.45303174951979,23.147850803372048,19.02937718369986,-45.46310824022036,7.404869641412335,5.299024,1.13,0.01865014,0.01191799,0.024696719,0.014802787,0.018651934,0.21958748,0.03
65010244195009024,56.778688940104594,23.715008173231865,19.59850247370788,-45.36308568784612,6.808915098743059,,0.29,0.2746438,0.26702294,0.31247276,0.34806648,0.37786633,,0.02
65063707949772672,55.85174576047401,23.22490289942252,20.899384242078337,-42.29185439614603,7.320884398120752,,0.4,0.19699802,0.112065665,0.25193077,0.1277849,0.11958122,,0.02
66733556873061120,56.65527358642529,24.343309000534717,16.380963499412466,-44.761625703547836,7.289904593804694,4.0825453,0.71,0.08010481,0.05358786,0.1552142,0.09054433,0.07829111,1.7694254,0.02
65163797866480768,56.357469738924664,23.429472713503674,17.336971353714397,-37.24977954462792,5.700722950141329,100.35094,0.42,0.23409876,0.18020597,0.31759775,0.22484018,0.26115835,9.050626,0.02
66781316912634880,56.53110827237955,24.37397824864086,,,,,0.13,2.8698285,1.4083537,,,,,0.01
65207709613871744,56.849928429173104,23.914271006001808,19.60591854512209,-46.32969547460584,7.185575669070407,5.368229,1.09,0.04690037,0.03655609,0.060044825,0.0443024,0.053416234,0.5776826,0.03
65212691773969280,56.82547570016037,24.036436385994815,21.437427455270193,-44.729548972091585,7.2721699909797355,,0.52,0.09109656,0.08662287,0.13300417,0.119677596,0.070744686,,0.01
66798526845337344,56.47976397387461,24.554604059172803,19.533204676406434,-45.55090168896121,7.3551891416930175,4.2994475,0.58,0.023090687,0.014974199,0.03228313,0.019224782,0.024002949,5.2536798,0.01
66801623517294848,56.54154704207585,24.67370493539722,16.744196797046282,-43.54263554160482,7.534029917537035,,0.31,0.5680292,0.29407606,0.57812846,0.3185911,0.1214605,,0.02
65230764998207232,56.566787224157245,24.189434810498856,20.755873830415954,-50.03176368981576,7.39543822777499,17.248915,1.29,0.03897098,0.025160037,0.048889156,0.03338446,0.04475741,22.786419,0.04
66814302258090880,56.5324012385008,24.86647317223618,,,,,0.61,0.82577354,0.42152435,,,,,0.01
65241313437941504,56.13322156163397,23.875211468904485,19.612794179791926,-46.53499963859164,7.357232412939338,10.056603,0.54,0.0349699,0.025829317,0.04893924,0.0379061,0.03812598,5.962319,0.01
65248460263511552,56.05316220658391,24.031592251729883,20.146309227148777,-45.14531743177651,7.363469370053254,4.6761637,0.82,0.102332674,0.09168531,0.12640567,0.10855923,0.13366552,1.2272983,0.02
65249250537488128,56.061260404619915,24.101436538805412,18.739606376933082,-41.028878368305456,6.909328975759729,,0.95,0.046299603,0.0343084,0.05535812,0.042186297,0.05446084,,0.03
65266499126062080,55.90242144676382,24.232125457001704,19.570862182934587,-42.10544434847715,7.698967125167992,-92.690414,0.54,0.09870053,0.07453746,0.120062515,0.0861581,0.11388447,7.1160617,0.01
