source_id,ra,dec,pmra,pmdec,parallax,radial_velocity,Mass (M_sun),ra_error,dec_error,pmra_error,pmdec_error,parallax_error,radial_velocity_error,Name
66507469798632320,57.489468160076925,23.84688194166913,21.53078682284725,-43.56503607173168,7.6427806651503,5.347354412078857,1.067,0.2451199,0.1352415,0.28000283,0.17623553,0.24566285,0.08753218742167572,b'HII 2500'
68364544935515392,55.516250034147305,24.71230890277608,22.205938636468435,-46.62401513784415,7.815114208797574,5.766209125518799,0.614,0.16440172,0.14901008,0.227048,0.17457345,0.19438508,0.20757752023091744,b'HCG 65'
64956127609464320,56.45349543711508,23.14694333291917,20.513910371784853,-45.699760208111584,7.421139697665509,7.8136744,2.801,0.039313566,0.026078094,0.05286644,0.033643007,0.041989394,1.3565793,b'HII 801'
66733556873061120,56.65527358642529,24.34330900053472,16.380963499412466,-44.76162570354784,7.289904593804694,4.0825453,5.001,0.08010481,0.05358786,0.1552142,0.09054433,0.07829111,1.7694254,
65207709613871744,56.849928429173104,23.914271006001808,19.60591854512209,-46.32969547460584,7.185575669070407,5.368229,1.163,0.04690037,0.03655609,0.060044825,0.0443024,0.053416234,0.5776826,b'HII 1392'
66798526845337344,56.47976397387461,24.554604059172803,19.533204676406434,-45.55090168896121,7.3551891416930175,4.2994475,0.625,0.023090687,0.014974199,0.03228313,0.019224782,0.024002949,5.2536798,
65230764998207232,56.566787224157245,24.189434810498856,20.755873830415958,-50.03176368981576,7.39543822777499,17.248915,1.663,0.03897098,0.025160037,0.048889156,0.03338446,0.04475741,22.786419,
65241313437941504,56.13322156163397,23.875211468904485,19.612794179791926,-46.53499963859164,7.357232412939338,10.056603,0.473,0.0349699,0.025829317,0.04893924,0.0379061,0.03812598,5.962319,
65248460263511552,56.05316220658391,24.031592251729883,20.146309227148777,-45.14531743177651,7.363469370053254,4.911118984222412,0.809,0.102332674,0.09168531,0.12640567,0.10855923,0.13366552,0.058009221848322544,b'HII 298'
65249250537488128,56.06126040461992,24.10143653880541,18.73960637693308,-41.028878368305456,6.909328975759729,5.880000114440918,0.801,0.046299603,0.0343084,0.05535812,0.042186297,0.05446084,1.669999979698867,b'HII 303 B'
65266499126062080,55.90242144676382,24.232125457001704,19.570862182934587,-42.10544434847715,7.698967125167992,-92.690414,5.001,0.09870053,0.07453746,0.120062515,0.0861581,0.11388447,7.1160617,
65272821318002560,56.09822487063708,24.13243934164225,28.07065074649472,-43.09795066967192,7.363603299962179,6.8230695724487305,1.395,0.087244794,0.06735988,0.10553127,0.08180087,0.100038484,0.15437572409809544,b'HII 338'
