source_id,ra,dec,pmra,pmdec,parallax,radial_velocity,mass,ra_error,dec_error,pmra_error,pmdec_error,parallax_error,radial_velocity_error,mass_error
66798496781121792,56.47708455753871,24.55430537374798,20.33140314206862,-46.022054798281474,7.3052753639807255,11.792832,3.47,0.07268643,0.04780104,0.094874665,0.06275386,0.0838769,0.5999517,0.15
64956127609464320,56.45349543711508,23.14694333291917,20.513910371784853,-45.699760208111584,7.4211396976655095,7.8136744,2.45,0.039313566,0.026078094,0.05286644,0.033643007,0.041989394,1.3565793,0.12
65207709611941376,56.85182143112869,23.9144778917631,20.049108040161617,-44.13258985442616,7.220987406121659,-1.8567859,2.16,0.030519485,0.022986645,0.041598886,0.02927154,0.03438313,2.4416814,0.11
65272821318002560,56.098224870637075,24.132439341642254,28.07065074649472,-43.097950669671924,7.363603299962179,6.376698,1.4,0.087244794,0.06735988,0.10553127,0.08180087,0.100038484,0.4192527,0.05
66507469798631936,57.491183690526064,23.847947494502325,21.026665618554475,-48.1328432589328,7.361154060952656,4.707757,1.15,0.033702802,0.018977262,0.0386648,0.0253434,0.033577144,0.5338991,0.04
65247704349267584,56.05452292932521,24.030615863047565,21.404856037527303,-45.88621865204381,7.594803806906587,4.2054543,0.93,0.017695986,0.012249984,0.022041071,0.015385619,0.019991616,0.51638615,0.03
65163797868281088,56.358294965270254,23.430022924426066,16.15513381249811,-35.83494257628211,5.95676284789145,3.9185615,0.81,0.013370161,0.010611392,0.018952651,0.013794754,0.015438841,2.5181413,0.02
66733552578791296,56.655542236671856,24.34333893209654,22.38024379037781,-45.51618836763191,7.4103373667151455,6.8652053,0.74,0.06361707,0.0400972,0.10874575,0.06264245,0.06050931,3.2270114,0.02
66474450090138496,58.30551209283792,23.92885737299431,10.31715161187234,-47.004427273004815,8.426296285987577,13.420958,0.73,0.014823507,0.0083679715,0.018065887,0.010842521,0.014729941,0.7803043,0.02
68364544935515392,55.516250034147305,24.71230890277608,22.205938636468435,-46.62401513784415,7.815114208797574,4.740833,0.61,0.16440172,0.14901008,0.227048,0.17457345,0.19438508,7.6009326,0.02
65266494828710400,55.90298289326376,24.23211488843657,20.333375443219484,-46.5100729007747,7.314589696392642,-1.5722564,0.56,0.06938315,0.057953086,0.087707594,0.06587295,0.08198914,8.052981,0.01
65241313435901568,56.1334290890114,23.874849276465046,19.57888027760635,-45.42340532837509,7.367449998542193,15.866132,0.55,0.03554339,0.026848154,0.04786971,0.036977574,0.039420117,14.526879,0.01
