source_id,ref_epoch,ra,dec,ra_error,dec_error,ra_dec_corr,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,has_epoch_rv,ipd_frac_multi_peak,ipd_gof_harmonic_amplitude,astrometric_chi2_al,astrometric_n_good_obs_al,ruwe,duplicated_source,mass
65150947325369600,2016.0,55.36604390474277,23.70813709776343,0.015965417,0.011247723,0.14304614,7.45004084678047,0.018220881,20.259840824477635,0.019559624,-45.71660093350053,0.013898344,10.972593,11.369089,10.408467,0.96062183,4.843984,0.42377788,False,0,0.016381875,441.0143,197,0.9286118,False,1.01
65151531440914560,2016.0,55.41503159545681,23.762883513854284,0.019615037,0.012734226,0.037272256,7.582046291334272,0.021357648,22.103628080665608,0.026029019,-46.89623639600777,0.015876587,13.867477,14.802361,12.916341,1.8860197,6.1792736,2.4422998,False,3,0.028989455,204.88094,206,1.0402107,False,0.595
66747816167123712,2016.0,57.426245257389006,24.462799736001266,0.016731743,0.01028143,0.094479896,7.547732480662261,0.018327165,18.676157331737546,0.020423349,-46.77229142531257,0.012882485,11.899782,12.410251,11.228242,1.1820087,-3.8785577,4.556401,False,0,0.07029447,1060.0715,393,1.1796322,False,0.855
65153833543386624,2016.0,55.49459139514297,23.70713528477168,0.020579396,0.0125587005,-0.12552026,7.327419894069631,0.02070901,19.953576720669552,0.025127687,-45.7529298125275,0.014962327,13.935524,14.910838,12.961369,1.9494696,4.6637115,3.0164638,False,0,0.0299168,197.26959,221,0.98458207,False,0.586
66752042414936704,2016.0,57.365254679183145,24.53152918709479,0.027013274,0.014842051,0.030891536,6.868676362419624,0.029826267,21.11976874320004,0.033552792,-43.83470100318672,0.019311335,14.890118,16.249926,13.742282,2.5076437,-10.680976,10.916472,False,0,0.02688871,409.81393,380,1.048202,False,0.46
66753038847347456,2016.0,57.3142034745513,24.567072171009944,0.027949786,0.0158913,-0.012317581,7.336933606142371,0.030339582,18.09458655232295,0.032912005,-46.93970479463773,0.020177394,13.430262,14.295788,12.497025,1.7987633,10.678968,4.0309916,False,0,0.023943108,1588.607,370,2.144635,False,0.614
66754241438299520,2016.0,57.55177538411496,24.532726387836213,0.015359816,0.009363088,0.12764665,7.223150189887358,0.016751178,19.107476326659604,0.01892343,-45.534887888264535,0.013003883,12.7328415,13.386664,11.953037,1.4336271,6.1249285,1.2158641,False,0,0.02219036,539.809,373,1.031239,False,0.747
65161976802151680,2016.0,56.245746416315335,23.38872896889856,0.016596021,0.013391603,0.3164412,7.547018989298301,0.017958445,19.88903301880096,0.022016658,-46.94423051275082,0.015588151,13.3745775,14.203643,12.481163,1.7224798,4.7084985,2.3807561,False,0,0.0300412,150.79997,182,0.94657576,False,0.648
65163797868281088,2016.0,56.358294965270254,23.430022924426066,0.013370161,0.010611392,0.23136635,5.95676284789145,0.015438841,16.15513381249811,0.018952651,-35.83494257628211,0.013794754,11.943017,12.495064,11.226545,1.2685184,3.9185615,2.5181413,False,0,0.026281089,335.9656,219,0.9288403,False,0.809
65164171528305792,2016.0,56.34254222359188,23.47151034941984,0.01314822,0.0093238875,0.16997446,7.307413485207008,0.014412273,20.223885800497985,0.018050222,-44.65017753769459,0.012163093,12.190561,12.771814,11.464812,1.3070021,5.167601,0.9204473,False,0,0.021119572,274.49048,205,0.9438896,False,0.788
65178568258674176,2016.0,56.41428433449393,23.75409592071791,0.06835851,0.05403284,0.1405891,7.137653092351973,0.075043164,24.019321616889407,0.090081416,-45.2530098862788,0.069232374,11.925609,12.631835,11.008814,1.6230211,,,False,96,0.10033633,12783.618,234,5.670898,False,0.68
65184929107310592,2016.0,55.92315056799927,23.648957620762896,0.12877978,0.08470881,0.1405974,7.806210964547051,0.13549048,20.23368750385818,0.18433192,-45.617876962371234,0.11804762,7.8598695,8.030746,7.5453277,0.4854188,5.6891637,0.31574437,False,0,0.025050227,14182.339,200,5.2615423,False,1.568
66771146429454592,2016.0,57.29898892437124,24.63638142989168,0.02507355,0.015082819,0.061297502,7.122279602702367,0.028204342,20.68263911903849,0.028832106,-44.73938013188233,0.018386312,10.304679,10.622301,9.816208,0.8060932,-0.8148704,4.039652,False,0,0.05484164,1738.0627,350,1.4188898,False,1.182
66774513683782912,2016.0,57.33590317007083,24.776462360298343,0.014022699,0.008910081,0.14785272,7.349364198624109,0.015047797,19.201379543302817,0.017449709,-44.489666559611294,0.011706895,12.459594,13.073255,11.70027,1.3729849,7.7778254,6.037133,False,0,0.030355679,672.9924,379,1.1289179,False,0.77
65188090203295744,2016.0,56.27211037045957,23.70246592516979,0.01780082,0.013387073,0.03378946,7.47060055813846,0.019710807,19.74960133387602,0.022846967,-46.40107117413503,0.016473966,8.888269,9.08254,8.5459,0.5366392,6.2800155,0.33624768,False,1,0.045625865,847.11914,250,1.1877493,False,1.472
65190048708380160,2016.0,56.3383718087484,23.7272709540596,0.01299621,0.009856893,-0.0002102061,7.277032576643956,0.013647615,19.69124947738876,0.01705619,-44.56064014037388,0.012664601,12.071662,12.781521,11.243565,1.5379562,-4.6504016,12.752755,False,0,0.056234445,425.23578,237,1.0951537,False,0.7
65190220507070208,2016.0,56.373319246952896,23.760302335308378,0.014192896,0.010469701,-0.036061823,7.399616619911859,0.015352413,19.06502132392825,0.01813691,-45.755836459670746,0.013500314,12.855757,13.581586,12.029433,1.5521526,7.391704,1.4321055,False,0,0.07721776,335.76837,225,1.0100722,False,0.7
65194584193758336,2016.0,56.26375187558317,23.839209317701982,0.015593884,0.011544007,0.039928705,7.434634406907008,0.016497875,20.34332411764256,0.01953231,-45.77202907717511,0.014463554,11.684071,12.160024,11.048585,1.1114388,5.071148,1.1666653,False,0,0.09905707,610.05493,237,1.0351657,False,0.893
65196370900147968,2016.0,56.22443336960459,23.92108582136264,0.013101824,0.00916289,-0.0018155187,7.226440781576337,0.014336304,21.062076818946014,0.016704356,-45.34634905398168,0.011661332,10.590246,11.024535,9.982679,1.0418558,5.0806947,0.5262432,False,0,0.06879959,752.4936,291,1.1517957,False,0.932
66781316909399424,2016.0,56.531386444741095,24.3741778959859,0.02169522,0.013971638,-0.10198078,7.432728772573676,0.021524457,18.93156538453851,0.031248005,-47.08706292205727,0.018392202,14.0124,14.979152,13.008881,1.9702711,3.9304402,4.139731,False,4,0.06618953,355.13547,255,1.227079,False,0.574
66781832308018176,2016.0,56.618484292947535,24.433739343907018,0.017138083,0.01020706,-0.16849865,7.373997130574647,0.016248994,20.11114396745309,0.023521593,-43.52995455982669,0.013414132,10.873117,11.263568,10.302857,0.9607105,4.674491,2.1460636,False,1,0.043043714,495.4204,228,0.9885728,False,1.01
65199978672758272,2016.0,56.65709673682824,23.78750955142278,0.017947942,0.014423253,0.25262552,7.471863203927212,0.020728955,20.01127262219112,0.022356384,-47.26742342923304,0.01750329,10.045166,10.413593,9.512707,0.90088654,6.585022,0.4475127,False,0,0.03595538,625.0681,235,1.1117623,False,1.067
65201039527567232,2016.0,56.51159600199895,23.73718212047578,0.014211205,0.010304084,0.10901254,7.425795986386205,0.016195484,19.495712257918264,0.01696212,-44.25712868823951,0.0127769075,12.133683,12.948728,11.235674,1.7130537,5.87751,0.54175156,False,0,0.06016365,417.47128,240,1.0954742,False,0.65
65201249983083392,2016.0,56.52329273640923,23.757058284763332,0.021736892,0.015762633,0.08536341,7.3094182053318,0.025500584,20.57697227505834,0.025556497,-44.18331512582181,0.019087184,14.375109,15.703154,13.2562895,2.4468641,7.242434,3.407398,False,0,0.028703842,231.46425,236,1.0223185,False,0.48
65202418214188544,2016.0,56.44372984935659,23.795157132391413,0.11713862,0.08931246,0.019280825,7.008717060407029,0.13386552,19.197093542220788,0.14279284,-45.352887258981134,0.10968185,14.805443,16.206171,13.606966,2.599205,3.426939,6.9611607,False,0,0.038367715,7331.3438,247,5.539466,False,0.43
65202830531043968,2016.0,56.52724342554522,23.83880945903293,0.026031895,0.017527696,-0.048040785,7.1765118083800425,0.029876087,19.691236808686742,0.028782118,-45.97218248922506,0.020700531,14.606908,15.806311,13.519028,2.287283,-17.51281,5.40219,False,0,0.014269403,221.51273,230,1.0041559,False,0.518
65205373152172032,2016.0,56.58167144917715,23.94814381017594,0.22717202,0.1531091,0.041423954,7.067028703633884,0.2862073,13.07521993561586,0.31712848,-48.403789627642766,0.19457982,4.172742,4.1482663,4.159457,-0.011190891,,,False,0,0.26633132,59734.61,186,2.3298006,False,3.199
66785852397412224,2016.0,56.474158220254864,24.46890649577369,0.032038927,0.02091218,-0.045341056,10.704195851873392,0.03305397,23.98688373117443,0.050575737,-48.64427761617867,0.027378766,14.150265,15.476476,13.009046,2.46743,-4.050462,2.1571953,False,0,0.033377107,310.32614,180,1.3704021,False,0.473
66786505232432512,2016.0,56.51218035590119,24.527697326214305,0.035923786,0.02286966,0.029202618,7.423127367767808,0.035905674,19.582296508324045,0.04518582,-44.877584847283686,0.028640086,6.4252644,6.4090815,6.425955,-0.01687336,13.656442,0.81763107,False,0,0.038939226,1164.7941,174,0.78916544,False,3.199
66787119410915072,2016.0,56.66214340428439,24.5201075850397,0.014996766,0.00907319,-0.24083485,7.412614947686768,0.013819418,20.23976526440455,0.02095666,-46.04620425308153,0.012448456,12.868829,13.571247,12.058481,1.5127659,5.178744,0.957283,False,0,0.05489047,306.72498,235,0.9290448,False,0.7
66788291938818304,2016.0,56.59455349459927,24.569949769064657,0.016046619,0.010117952,-0.16662061,7.393670835522528,0.015775258,19.683164514250493,0.022914998,-44.9936072177932,0.014031689,10.296593,10.624539,9.802695,0.8218441,6.6079693,0.44602695,False,0,0.040198773,364.96658,209,0.8482524,False,1.163
65207709611941376,2016.0,56.85182143112869,23.9144778917631,0.030519485,0.022986645,0.076219715,7.220987406121659,0.03438313,20.049108040161617,0.041598886,-44.13258985442616,0.02927154,7.286501,7.291563,7.249264,0.04229927,-1.8567859,2.4416814,False,0,0.04839617,1290.353,226,1.0006701,True,2.6
