source_id,ra,dec,pmra,pmdec,parallax,radial_velocity,mass,ra_error,dec_error,pmra_error,pmdec_error,parallax_error,radial_velocity_error,mass_error
64021920682268416,56.870068859948404,22.376423105686136,20.494595877884198,-48.931404684824116,6.893616078653016,39.75318,0.57,0.064399764,0.05219667,0.07907533,0.06619243,0.07484477,13.274536,0.01
64094037476647040,57.70410557714868,22.66984055724213,18.29780707062388,-44.92903716810198,7.386205225594046,-43.784115,0.49,0.03210183,0.018678317,0.044494182,0.025902785,0.03354169,5.828536,0.02
64131150292139648,57.156918510526815,22.769113512032003,19.031578474328004,-44.591028325201925,7.232192097987376,-3.7897284,0.58,0.022121295,0.014228893,0.029613242,0.019023916,0.02286525,4.011717,0.01
69811948914407168,56.169922338576605,24.818333957946873,20.238677643478304,-45.445803609583365,7.489501972504944,4.253554,1.22,0.021021225,0.013445639,0.02753543,0.017658161,0.021575358,0.6526914,0.04
69823940463098752,56.11385520616843,24.84375697029257,20.676889317311133,-48.98876814771033,7.503301131440386,-3.5959084,0.64,0.033993598,0.021769883,0.04351407,0.02707708,0.03400921,9.20926,0.03
69864313155605120,56.314067238891944,25.28927622486201,20.040084925306015,-45.96863991746572,7.425788405396613,-12.139915,0.95,0.026763408,0.019381223,0.03297476,0.024813944,0.03157227,5.201734,0.03
66474450090138496,58.30551209283792,23.92885737299431,10.31715161187234,-47.004427273004815,8.426296285987577,13.420958,0.73,0.014823507,0.0083679715,0.018065887,0.010842521,0.014729941,0.7803043,0.02
68267680536205440,55.674687877103224,24.199276473366776,20.123377100985664,-41.14435023565595,6.8213044818894275,-2.557564,0.58,0.01895998,0.012291566,0.02203917,0.015962673,0.020507503,7.001981,0.01
64814045795106944,55.82946025520575,22.44905775053491,16.551456888527238,-41.647686246937006,4.683682324200178,,0.83,0.55632454,0.358033,0.73770267,0.41743666,0.5987977,,0.02
66486510358371072,57.71855293609407,23.961269020104176,19.944675120872123,-45.36062770677223,6.7873128119934485,,2.16,0.13047628,0.074473895,0.16430438,0.10427129,0.14141089,,0.26
64837242912474624,55.872124314048335,22.734611125652357,20.07361040924858,-45.96376909847048,7.532518558405384,,1.44,0.019929726,0.015485776,0.027618198,0.019842343,0.022165086,,0.05
66507469798631808,57.491988012399965,23.84848726390722,18.377840455207256,-45.870328430863225,7.389021187429237,,2.42,0.035412025,0.019843953,0.045998238,0.025840128,0.038253613,,0.12
66507469798631936,57.491183690526064,23.847947494502325,21.026665618554475,-48.1328432589328,7.361154060952656,4.707757,1.15,0.033702802,0.018977262,0.0386648,0.0253434,0.033577144,0.5338991,0.04
