index_1,index_2,source_id_1,source_id_2,rp_kAU,vp_kms,vc_kms,v_ratio,mass1,mass2,Mtot,distance1_pc,distance2_pc
84,85,66480944080770176,66481734354737792,34.5690165771149,0.473008033926957,0.19411859627030037,2.4366961384179655,0.834,0.634,1.468,136.3882270078972,135.67041392223297
100,101,66517468482370176,66517468482370304,1.7675551028825458,0.7978009536006178,0.9474251369567755,0.842072816606106,0.586,1.202,1.7879999999999998,137.0781278194456,137.19436627399534
130,227,66565365957676416,66754241438299520,36.628055537285135,0.8121160380835265,0.20853210214466758,3.894441334121914,1.048,0.747,1.795,137.9707347494814,138.44375012443078
155,156,64979732749686016,64980278208557696,39.52867870425646,2.3157109202529567,0.19638262356013633,11.791832078991648,0.971,0.747,1.718,135.3815928641421,135.84732683863726
199,208,66715273197982848,66727234683931520,31.362666410474368,0.559038456505508,0.25275695006167936,2.2117629460597934,1.663,0.595,2.258,137.56459567736277,137.42136041028232
206,207,65125452399528320,65125864716379264,42.85963832485498,0.6588340552428282,0.1652516382435651,3.98685339670745,0.549,0.77,1.319,133.53948468614948,132.9406474815472
260,261,65222518661019520,65222759179728640,16.855265982495162,1.5564112398875751,0.30586059959544254,5.088629401584311,0.614,1.163,1.7770000000000001,136.50118629644905,136.99001301039465
296,305,65275089060719104,65287458566524928,29.304090294437565,1.4037707909399353,0.35534608283229724,3.9504327154843963,0.971,3.199,4.17,133.95686180696467,135.4050873017637
